GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1323903334,20250920,202509,2025,2025.7123,BOL,SANTA CRUZ,BOL,,,,,,,,GOV,REGULATOR,,,,,,GOV,,,1,040,040,04,1,1.0,5,1,5,-2.11907164480323,3,"Moss Landing, California, United States",US,USCA,CA053,36.8044,-121.787,1659184,3,"Moss Landing, California, United States",US,USCA,,36.8044,-121.787,1659184,3,"Moss Landing, California, United States",US,USCA,,36.8044,-121.787,1659184,20260920013000,https://www.santacruzsentinel.com/2026/09/19/moss-landing-battery-storage-fire-flares-up-again-raising-new-safety-fears-in-california/
1323903335,20250920,202509,2025,2025.7123,GOV,ADMINISTRATION,,,,,,GOV,,,CRM,NARCO TERRORIST,,,,,,CRM,,,1,010,010,01,1,0.0,10,1,10,-12.4590163934426,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20260920013000,https://timesofindia.indiatimes.com/weather/us/us-military-says-it-struck-suspected-drug-trafficking-vessel-4-killed/articleshow/134362508.cms
1323903336,20250920,202509,2025,2025.7123,GOV,ADMINISTRATION,,,,,,GOV,,,HLH,NURSE,,,,,,HLH,,,1,010,010,01,1,0.0,3,1,3,-1.99203187250996,3,"Maine Medical Center, Maine, United States",US,USME,ME005,43.6532,-70.2762,570673,3,"Maine Medical Center, Maine, United States",US,USME,,43.6532,-70.2762,570673,3,"Maine Medical Center, Maine, United States",US,USME,,43.6532,-70.2762,570673,20260920013000,https://www.wabi.tv:443/2026/09/19/nurses-sound-alarm-proposed-healthcare-cuts-during-bangor-bus-tour-stop/
1323903337,20250920,202509,2025,2025.7123,GOV,ADMINISTRATION,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,1,010,010,01,1,0.0,2,1,2,-1.99203187250996,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,20260920013000,https://www.wabi.tv:443/2026/09/19/nurses-sound-alarm-proposed-healthcare-cuts-during-bangor-bus-tour-stop/
1323903338,20250920,202509,2025,2025.7123,USA,UNITED STATES,USA,,,,,,,,GOV,REGULATOR,,,,,,GOV,,,1,040,040,04,1,1.0,2,1,2,-2.11907164480323,3,"Moss Landing, California, United States",US,USCA,CA053,36.8044,-121.787,1659184,3,"Moss Landing, California, United States",US,USCA,,36.8044,-121.787,1659184,3,"Moss Landing, California, United States",US,USCA,,36.8044,-121.787,1659184,20260920013000,https://www.santacruzsentinel.com/2026/09/19/moss-landing-battery-storage-fire-flares-up-again-raising-new-safety-fears-in-california/
1323903339,20260913,202609,2026,2026.6932,,,,,,,,,,,USA,PHILADELPHIA,USA,,,,,,,,1,042,042,04,1,1.9,4,1,4,-4.1871921182266,0,,,,,,,,2,"Pennsylvania, United States",US,USPA,,40.5773,-77.264,PA,3,"Philadelphia, Pennsylvania, United States",US,USPA,PA101,39.9523,-75.1638,1209052,20260920013000,https://www.fox29.com/news/philadelphia-airport-measles-exposure-september-2026
1323903340,20260913,202609,2026,2026.6932,UKR,UKRAINE,UKR,,,,,,,,IGOUNOLEG,UNITED NATIONS,,UNO,,,,IGO,LEG,,0,026,026,02,1,4.0,8,1,8,-6.64869721473495,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20260920013000,https://fortune.com/2026/09/19/polish-prime-minister-russia-hybrid-war-drone-rocket-strikes-european-countries-ukraine/
1323903341,20260920,202609,2026,2026.7123,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,190,190,19,4,-10.0,1,1,1,-1.0989010989011,0,,,,,,,,1,Australia,AS,AS,,-25,135,AS,4,"Nottingham, Nottingham, United Kingdom",UK,UKJ8,40126,52.9667,-1.16667,-2604469,20260920013000,https://www.aol.co.uk/articles/real-reason-meghan-markle-never-005400000.html
1323903342,20260920,202609,2026,2026.7123,,,,,,,,,,,BGD,DHAKA,BGD,,,,,,,,1,183,183,18,4,-10.0,10,1,10,-6.21301775147929,0,,,,,,,,4,"Mirpur, Bangladesh (general), Bangladesh",BG,BG00,5794,24.6833,90.2,-2728500,4,"Mirpur, Bangladesh (general), Bangladesh",BG,BG00,5794,24.6833,90.2,-2728500,20260920013000,http://www.laosnews.net/news/279317823/four-crude-bombs-explode-in-dhaka-jatrabari-two-blasts-at-kamalapur-station-in-bangladesh
1323903343,20260920,202609,2026,2026.7123,,,,,,,,,,,BUS,COMPANIES,,,,,,BUS,,,1,051,051,05,1,3.4,10,1,10,-2.84237726098191,0,,,,,,,,1,Russia,RS,RS,,60,100,RS,1,Russia,RS,RS,,60,100,RS,20260920013000,https://finance.yahoo.com/energy/articles/diesel-margins-hold-near-records-183926622.html
