GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1305136439,20250521,202505,2025,2025.3863,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,080,080,08,2,5.0,1,1,1,-4.80742966402622,0,,,,,,,,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,20260521001500,https://www.thegazette.com/news/national/the-latest-us-indicts-former-cuban-president-ra-l-castro-over-1996-downing-of-planes/article_40e3b43d-264f-530d-b966-cb82256273d5.html
1305136440,20250521,202505,2025,2025.3863,COD,ITURI,COD,,,,,,,,USAGOVDEV,USAID,USA,,,,,GOV,DEV,,1,060,060,06,2,6.0,5,1,5,-3.34128878281623,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,20260521001500,https://www.medscape.com/s/viewarticle/congos-ebola-responders-decry-lack-medicine-masks-motorbikes-2026a1000gen
1305136441,20250521,202505,2025,2025.3863,COD,ITURI,COD,,,,,,,,USAGOVDEV,USAID,USA,,,,,GOV,DEV,,1,112,112,11,3,-2.0,5,1,5,-3.34128878281623,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,5,"Alima, Cuvette, Congo",CF,CF13,18585,-0.5,16,-2205408,20260521001500,https://www.medscape.com/s/viewarticle/congos-ebola-responders-decry-lack-medicine-masks-motorbikes-2026a1000gen
1305136442,20250521,202505,2025,2025.3863,LEG,LAWMAKER,,,,,,LEG,,,,,,,,,,,,,0,071,071,07,2,7.4,2,1,2,-0.91393754760092,3,"Metairie, Louisiana, United States",US,USLA,LA051,29.9841,-90.1529,555301,0,,,,,,,,3,"Metairie, Louisiana, United States",US,USLA,LA051,29.9841,-90.1529,555301,20260521001500,https://neworleanscitybusiness.com/blog/2026/05/20/louisiana-budget-landry-pay-raises-uncertainty/
1305136443,20250521,202505,2025,2025.3863,LEG,LAWMAKER,,,,,,LEG,,,,,,,,,,,,,0,071,071,07,2,7.4,3,1,3,-0.91393754760092,1,Greenland,GL,GL,,72,-40,GL,0,,,,,,,,1,Greenland,GL,GL,,72,-40,GL,20260521001500,https://neworleanscitybusiness.com/blog/2026/05/20/louisiana-budget-landry-pay-raises-uncertainty/
1305136444,20250521,202505,2025,2025.3863,LEG,LAWMAKER,,,,,,LEG,,,FRA,CANNES,FRA,,,,,,,,1,100,100,10,3,-5.0,5,1,5,-2.36686390532544,1,France,FR,FR,,46,2,FR,1,France,FR,FR,,46,2,FR,1,France,FR,FR,,46,2,FR,20260521001500,https://edmontonsun.com/entertainment/movies/spacey-walks-cannes-red-carpet-as-comeback-continues
1305136445,20250521,202505,2025,2025.3863,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,080,080,08,2,5.0,3,1,3,-4.80742966402622,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,0,,,,,,,,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,20260521001500,https://www.thegazette.com/news/national/the-latest-us-indicts-former-cuban-president-ra-l-castro-over-1996-downing-of-planes/article_40e3b43d-264f-530d-b966-cb82256273d5.html
1305136446,20250521,202505,2025,2025.3863,USA,UNITED STATES,USA,,,,,,,,CUB,CUBA,CUB,,,,,,,,0,186,186,18,4,-10.0,1,1,1,-0.84210526315789,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,4,"Francisco Perez, Villa Clara, Cuba",CU,CU16,14802,22.35,-79.6,-1623551,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,20260521001500,https://www.miaminewtimes.com/news/guided-by-god-cuban-exiles-celebrate-raul-castro-indictment-40550330/
1305136447,20250521,202505,2025,2025.3863,USA,UNITED STATES,USA,,,,,,,,CUB,CUBA,CUB,,,,,,,,0,186,186,18,4,-10.0,1,1,1,-0.84210526315789,3,"Miami, Florida, United States",US,USFL,FL086,25.7743,-80.1937,295004,4,"Francisco Perez, Villa Clara, Cuba",CU,CU16,14802,22.35,-79.6,-1623551,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,20260521001500,https://www.miaminewtimes.com/news/guided-by-god-cuban-exiles-celebrate-raul-castro-indictment-40550330/
1305136448,20260421,202604,2026,2026.3041,GOVEDU,EDUCATION MINIST,,,,,,GOV,EDU,,MED,MEDIA,,,,,,MED,,,1,020,020,02,1,3.0,10,1,10,-4.02930402930403,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260521001500,https://indianexpress.com/article/education/ahead-of-neet-retest-dharmendra-pradhan-asks-online-platforms-to-crack-down-on-misinformation-10700314/
