GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1313190954,20250712,202507,2025,2025.5260,EDU,STUDENT,,,,,,EDU,,,USA,UNITED STATES,USA,,,,,,,,1,043,043,04,1,2.8,4,1,4,1.81219110378913,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,20260712001500,https://www.stgeorgeutah.com/news/st-george-civil-air-patrol-cadets-make-priceless-connections-at-air-force-training-event/article_002ee37f-0170-44a7-80e3-e5d5d4a42440.html
1313190955,20250712,202507,2025,2025.5260,USA,UNITED STATES,USA,,,,,,,,EDU,STUDENT,,,,,,EDU,,,1,042,042,04,1,1.9,4,1,4,1.81219110378913,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,,40.1135,-111.854,UT,20260712001500,https://www.stgeorgeutah.com/news/st-george-civil-air-patrol-cadets-make-priceless-connections-at-air-force-training-event/article_002ee37f-0170-44a7-80e3-e5d5d4a42440.html
1313190956,20260612,202606,2026,2026.4438,LAO,LAOTIAN,LAO,,,,,,,,USA,MINNESOTA,USA,,,,,,,,1,080,080,08,2,5.0,10,1,10,-5.8682634730539,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260712001500,https://www.zerohedge.com/political/dhs-deports-convicted-child-rapist-gov-tim-walz-pardoned
1313190957,20260612,202606,2026,2026.4438,LEG,CONGRESS,,,,,,LEG,,,MEX,MEXICAN,MEX,,,,,,,,1,114,114,11,3,-2.0,6,1,6,-2.42214532871973,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,20260712001500,https://www.abqjournal.com/news/nearly-8000-claims-pending-for-calf-canyon/hermits-peak-fire-funds/3080793
1313190958,20260612,202606,2026,2026.4438,LEG,CONGRESS,,,,,,LEG,,,USA,UNITED STATES,USA,,,,,,,,1,114,114,11,3,-2.0,4,1,4,-2.42214532871973,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,20260712001500,https://www.abqjournal.com/news/nearly-8000-claims-pending-for-calf-canyon/hermits-peak-fire-funds/3080793
1313190959,20260612,202606,2026,2026.4438,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,052,052,05,1,3.5,1,1,1,-5.74712643678161,3,"Lincoln Memorial, District of Columbia, United States",US,USDC,DC001,38.8893,-77.05,531835,0,,,,,,,,3,"Lincoln Memorial, District of Columbia, United States",US,USDC,,38.8893,-77.05,531835,20260712001500,https://www.newsweek.com/lincoln-memorial-reflecting-pool-drained-again-full-timeline-12185385
1313190960,20260705,202607,2026,2026.5068,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,0,192,192,19,4,-9.5,4,1,4,-8.01526717557252,4,"Konstantinovka, Primorskiy Kray, Russia",RS,RS59,25088,44.0103,131.381,-2932517,4,"Makeevka, Donets'ka Oblast', Ukraine",UP,UP05,28556,48.0478,37.9258,-1045498,4,"Konstantinovka, Primorskiy Kray, Russia",RS,RS59,25088,44.0103,131.381,-2932517,20260712001500,http://www.philippinetimes.com/news/279181692/nine-injured-in-ukrainian-drone-attack-on-passenger-bus-governor
1313190961,20260705,202607,2026,2026.5068,USA,MISSOURI,USA,,,,,,,,,,,,,,,,,,1,071,071,07,2,7.4,10,1,10,-5.10471204188481,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,0,,,,,,,,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,20260712001500,https://www.metroweekly.com/2026/07/missouri-gender-affirming-care-inmates/
1313190962,20260712,202607,2026,2026.5260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,020,020,02,1,3.0,1,1,1,-3.22019147084421,0,,,,,,,,4,"Madlanga, Eastern Cape, South Africa",SF,SF05,77353,-30.9821,29.2626,-1255482,4,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,20260712001500,https://www.timeslive.co.za/politics/2026-07-11-favours-involving-malema-feroz-khan-and-mo-sayed-laid-bare-at-madlanga-commission/
1313190963,20260712,202607,2026,2026.5260,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,020,020,02,1,3.0,3,1,2,-3.22019147084421,0,,,,,,,,4,"Madlanga, Eastern Cape, South Africa",SF,SF05,77353,-30.9821,29.2626,-1255482,4,"Madlanga, Eastern Cape, South Africa",SF,SF05,77353,-30.9821,29.2626,-1255482,20260712001500,https://www.timeslive.co.za/politics/2026-07-11-favours-involving-malema-feroz-khan-and-mo-sayed-laid-bare-at-madlanga-commission/
