GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1303423906,20250511,202505,2025,2025.3589,,,,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,130,130,13,3,-4.4,60,6,60,-3.92706872370267,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260511041500,https://www.gazette-news.co.uk/news/national/26093867.uk-set-shed-163-000-jobs-amid-iran-war-fallout---report/
1303423907,20250511,202505,2025,2025.3589,,,,,,,,,,,NLD,NETHERLANDS,NLD,,,,,,,,0,051,051,05,1,3.4,2,1,2,2.4,0,,,,,,,,4,"Makhadzi, Limpopo, South Africa",SF,SF09,21858,-23.8341,31.6336,-1256141,4,"Makhadzi, Limpopo, South Africa",SF,SF09,21858,-23.8341,31.6336,-1256141,20260511041500,https://www.sowetan.co.za/s-mag/culture/2026-05-11-gigi-lamayne-trading-places-from-hip-hop-to-3-step/
1303423908,20260411,202604,2026,2026.2767,BUS,BANK,,,,,,BUS,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,138,138,13,3,-7.0,60,6,60,-3.92706872370267,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260511041500,https://www.gazette-news.co.uk/news/national/26093867.uk-set-shed-163-000-jobs-amid-iran-war-fallout---report/
1303423909,20260504,202605,2026,2026.3397,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-11.2359550561798,3,"New Canaan, Connecticut, United States",US,USCT,CT001,41.1468,-73.4948,209223,0,,,,,,,,3,"New Canaan, Connecticut, United States",US,USCT,,41.1468,-73.4948,209223,20260511041500,https://newcanaanite.com/new-canaan-man-35-charged-with-disorderly-conduct-2-14748379
1303423910,20260504,202605,2026,2026.3397,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,4,1,4,-11.2359550561798,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,0,,,,,,,,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,20260511041500,https://newcanaanite.com/new-canaan-man-35-charged-with-disorderly-conduct-2-14748379
1303423911,20260504,202605,2026,2026.3397,KOR,SEOUL,KOR,,,,,,,,BUD,BUDDHIST MONK,,,,BUD,,,,,0,020,020,02,1,3.0,10,1,10,2.3728813559322,4,"Seoul, Soul-t'ukpyolsi, South Korea",KS,KS11,24984,37.5664,127,-716583,4,"Seoul, Soul-t'ukpyolsi, South Korea",KS,KS11,24984,37.5664,127,-716583,4,"Seoul, Soul-t'ukpyolsi, South Korea",KS,KS11,24984,37.5664,127,-716583,20260511041500,https://www.theregister.com/ai-and-ml/2026/05/11/asia-in-brief-chinas-agentic-ai-policy-wants-to-keep-humans-in-the-loop/5237632
1303423912,20260511,202605,2026,2026.3589,,,,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,040,040,04,1,1.0,5,1,5,3.03468208092486,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,20260511041500,https://blueprint.ng/4th-india-africa-forum-summit-time-for-renewed-partnership/
1303423913,20260511,202605,2026,2026.3589,,,,,,,,,,,AGR,FARMER,,,,,,AGR,,,1,036,036,03,1,4.0,5,1,5,-1.87861271676301,0,,,,,,,,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,20260511041500,https://economictimes.indiatimes.com/news/international/world-news/thailands-ex-pm-thaksin-released-from-prison/articleshow/131002446.cms
1303423914,20260511,202605,2026,2026.3589,,,,,,,,,,,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,0,042,042,04,1,1.9,1,1,1,-8.16326530612244,0,,,,,,,,4,"Dubai, Dubayy, United Arab Emirates",AE,AE03,28575,25.2522,55.28,-782831,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260511041500,https://www.newindianexpress.com/world/2026/May/11/totally-unacceptable-trump-rejects-irans-response-to-us-ceasefire-proposal
1303423915,20260511,202605,2026,2026.3589,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,025,025,02,1,-0.3,4,1,4,-8.7431693989071,0,,,,,,,,4,"Narooma, New South Wales, Australia",AS,AS02,4997,-36.221,150.131,-1590896,4,"Narooma, New South Wales, Australia",AS,AS02,4997,-36.221,150.131,-1590896,20260511041500,https://www.naroomanewsonline.com.au/story/9242664/antony-catalano-appears-after-rehab-for-alleged-march-attack/
