GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1313086177,20160713,201607,2016,2016.5288,GBR,BRITISH,GBR,,,,,,,,LEG,PARLIAMENT,,,,,,LEG,,,0,190,190,19,4,-10.0,10,1,10,-3.44827586206897,4,"Newton Abbot, Devon, United Kingdom",UK,UKD4,40104,50.5333,-3.6,-2604082,4,"Newton Abbot, Devon, United Kingdom",UK,UKD4,40104,50.5333,-3.6,-2604082,4,"Newton Abbot, Devon, United Kingdom",UK,UKD4,40104,50.5333,-3.6,-2604082,20260711011500,http://www.theuknews.com/news/279179995/police-arrest-suspect-in-killing-of-former-uk-minister-ann-widdecombe
1313086178,20250711,202507,2025,2025.5233,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,2,1,2,-2.14592274678111,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,0,,,,,,,,1,Iran,IR,IR,,32,53,IR,20260711011500,https://www.ksl.com:443/article/51596316/trump-says-he-will-not-sign-big-yawn-bipartisan-housing-bill
1313086179,20260611,202606,2026,2026.4411,GOV,REGIME,,,,,,GOV,,,VEN,VENEZUELA,VEN,,,,,,,,1,173,173,17,4,-5.0,1,1,1,-14.2164781906301,3,"Pingree Grove, Illinois, United States",US,USIL,IL089,42.0686,-88.4134,415712,1,Venezuela,VE,VE,,8,-66,VE,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,20260711011500,https://www.breitbart.com/immigration/2026/07/10/ice-asks-sanctuary-illinois-not-to-release-illegal-migrant-charged-with-raping-child/
1313086180,20260611,202606,2026,2026.4411,GOV,REGIME,,,,,,GOV,,,VEN,VENEZUELA,VEN,,,,,,,,1,173,173,17,4,-5.0,1,1,1,-14.2164781906301,1,Venezuela,VE,VE,,8,-66,VE,1,Venezuela,VE,VE,,8,-66,VE,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,20260711011500,https://www.breitbart.com/immigration/2026/07/10/ice-asks-sanctuary-illinois-not-to-release-illegal-migrant-charged-with-raping-child/
1313086181,20260611,202606,2026,2026.4411,USA,MASSACHUSETTS,USA,,,,,,,,BUS,BANK,,,,,,BUS,,,1,173,173,17,4,-5.0,2,1,2,-9.58083832335329,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,20260711011500,https://www.nhpr.org/nh-news/2026-07-10/bank-robbery-nashua-fbi-arrests-man-accused-armed-bank-robbery
1313086182,20260611,202606,2026,2026.4411,USA,MASSACHUSETTS,USA,,,,,,,,BUS,BANK,,,,,,BUS,,,1,173,173,17,4,-5.0,2,1,2,-9.58083832335329,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,20260711011500,https://www.nhpr.org/nh-news/2026-07-10/bank-robbery-nashua-fbi-arrests-man-accused-armed-bank-robbery
1313086183,20260611,202606,2026,2026.4411,USA,MASSACHUSETTS,USA,,,,,,,,BUS,BANK,,,,,,BUS,,,1,173,173,17,4,-5.0,6,1,6,-9.58083832335329,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,20260711011500,https://www.nhpr.org/nh-news/2026-07-10/bank-robbery-nashua-fbi-arrests-man-accused-armed-bank-robbery
1313086184,20260611,202606,2026,2026.4411,VEN,VENEZUELAN,VEN,,,,,,,,GOV,REGIME,,,,,,GOV,,,1,173,173,17,4,-5.0,2,1,2,-14.2164781906301,1,Venezuela,VE,VE,,8,-66,VE,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,20260711011500,https://www.breitbart.com/immigration/2026/07/10/ice-asks-sanctuary-illinois-not-to-release-illegal-migrant-charged-with-raping-child/
1313086185,20260611,202606,2026,2026.4411,VEN,VENEZUELA,VEN,,,,,,,,GOV,REGIME,,,,,,GOV,,,1,173,173,17,4,-5.0,1,1,1,-14.2164781906301,1,Venezuela,VE,VE,,8,-66,VE,1,Venezuela,VE,VE,,8,-66,VE,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,20260711011500,https://www.breitbart.com/immigration/2026/07/10/ice-asks-sanctuary-illinois-not-to-release-illegal-migrant-charged-with-raping-child/
1313086186,20260611,202606,2026,2026.4411,VEN,VENEZUELAN,VEN,,,,,,,,GOV,REGIME,,,,,,GOV,,,1,181,181,18,4,-9.0,7,1,7,-14.2164781906301,1,Venezuela,VE,VE,,8,-66,VE,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,3,"Pingree Grove, Illinois, United States",US,USIL,,42.0686,-88.4134,415712,20260711011500,https://www.breitbart.com/immigration/2026/07/10/ice-asks-sanctuary-illinois-not-to-release-illegal-migrant-charged-with-raping-child/
